checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
'0<=X<200',24,'existing paid',buy_new_car,1246,'<100','<1',4,'male single',none,2,'real estate',23,stores,own,1,'unskilled resident',1,none,yes,bad
'no checking',12,'critical/other existing credit',buy_radio_tv,2331,'no known savings','>=7',1,'male single','co applicant',4,'real estate',49,none,own,1,skilled,1,yes,yes,good
'no checking',36,'delayed previously',buy_radio_tv,4463,'<100','1<=X<4',4,'male single',none,2,car,26,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',12,'existing paid',buy_radio_tv,776,'<100','1<=X<4',4,'male mar/wid',none,2,'real estate',28,none,own,1,skilled,1,none,yes,good
'<0',30,'existing paid',buy_furniture_equipment,2406,'<100','4<=X<7',4,'female div/dep/mar',none,4,'real estate',23,none,rent,1,skilled,1,none,yes,bad
'0<=X<200',18,'existing paid',education,1239,'no known savings','1<=X<4',4,'male single',none,4,'no known property',61,none,'for free',1,skilled,1,none,yes,good
'>=200',12,'existing paid',buy_radio_tv,3399,'no known savings','>=7',2,'male single',none,3,car,37,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good
'>=200',12,'delayed previously',buy_new_car,2247,'<100','1<=X<4',2,'female div/dep/mar',none,2,car,36,stores,own,2,skilled,1,yes,yes,good
'no checking',6,'existing paid',buy_furniture_equipment,1766,'<100','1<=X<4',1,'male mar/wid',none,2,'life insurance',21,none,rent,1,skilled,1,none,yes,good
'<0',18,'existing paid',buy_furniture_equipment,2473,'<100',unemployed,4,'male single',none,1,car,25,none,own,1,'unemp/unskilled non res',1,none,yes,bad
'no checking',12,'existing paid',business,1542,'<100','4<=X<7',2,'male single',none,4,car,36,none,own,1,skilled,1,yes,yes,good
'no checking',18,'critical/other existing credit',buy_used_car,3850,'<100','4<=X<7',3,'male single',none,1,car,27,none,own,2,skilled,1,none,yes,good
'<0',18,'existing paid',buy_furniture_equipment,3650,'<100','<1',1,'female div/dep/mar',none,4,car,22,none,rent,1,skilled,1,none,yes,good
'<0',36,'existing paid',buy_furniture_equipment,3446,'<100','>=7',4,'male single',none,2,car,42,none,own,1,skilled,2,none,yes,bad
'0<=X<200',18,'existing paid',buy_furniture_equipment,3001,'<100','4<=X<7',2,'female div/dep/mar',none,4,'real estate',40,none,rent,1,skilled,1,none,yes,good
'no checking',36,'existing paid',buy_new_car,3079,'no known savings','1<=X<4',4,'male single',none,4,'real estate',36,none,own,1,skilled,1,none,yes,good
'no checking',18,'critical/other existing credit',buy_radio_tv,6070,'<100','>=7',3,'male single',none,4,car,33,none,own,2,skilled,1,yes,yes,good
'no checking',10,'critical/other existing credit',buy_furniture_equipment,2146,'<100','<1',1,'female div/dep/mar',none,3,'real estate',23,none,rent,2,skilled,1,none,yes,good
'no checking',60,'critical/other existing credit',buy_new_car,13756,'no known savings','>=7',2,'male single',none,4,'no known property',63,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'0<=X<200',60,'all paid',other,14782,'100<=X<500','>=7',3,'female div/dep/mar',none,4,'no known property',60,bank,'for free',2,'high qualif/self emp/mgmt',1,yes,yes,bad
'<0',48,'all paid',business,7685,'<100','4<=X<7',2,'female div/dep/mar',guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad
'no checking',18,'delayed previously',buy_radio_tv,2320,'<100',unemployed,2,'male mar/wid',none,3,'real estate',34,none,own,2,skilled,1,none,yes,good
'no checking',7,'delayed previously',buy_radio_tv,846,'no known savings','>=7',3,'male single',none,4,'no known property',36,none,'for free',1,skilled,1,none,yes,good
'0<=X<200',36,'existing paid',buy_new_car,14318,'<100','>=7',4,'male single',none,2,'no known property',57,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',6,'critical/other existing credit',buy_new_car,362,'100<=X<500','1<=X<4',4,'female div/dep/mar',none,4,car,52,none,own,2,'unskilled resident',1,none,yes,good
'<0',20,'existing paid',buy_furniture_equipment,2212,'no known savings','4<=X<7',4,'male single',none,4,car,39,none,own,1,skilled,1,yes,yes,good
'0<=X<200',18,'existing paid',buy_used_car,12976,'<100',unemployed,3,'female div/dep/mar',none,4,'no known property',38,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',22,'existing paid',buy_new_car,1283,'no known savings','4<=X<7',4,'female div/dep/mar',none,4,'life insurance',25,none,rent,1,skilled,1,none,yes,good
'>=200',12,'existing paid',buy_new_car,1330,'<100','<1',4,'male single',none,1,'real estate',26,none,own,1,skilled,1,none,yes,good
'no checking',30,'delayed previously',business,4272,'100<=X<500','1<=X<4',2,'male single',none,2,'life insurance',26,none,own,2,'unskilled resident',1,none,yes,good
'no checking',18,'critical/other existing credit',buy_radio_tv,2238,'<100','1<=X<4',2,'female div/dep/mar',none,1,car,25,none,own,2,skilled,1,none,yes,good
'no checking',18,'existing paid',buy_radio_tv,1126,'no known savings','<1',4,'female div/dep/mar',none,2,'real estate',21,none,rent,1,skilled,1,yes,yes,good
'0<=X<200',18,'critical/other existing credit',buy_furniture_equipment,7374,'<100',unemployed,4,'male single',none,4,'life insurance',40,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,good
'0<=X<200',15,'critical/other existing credit',business,2326,'500<=X<1000','1<=X<4',2,'male single',none,4,car,27,bank,own,1,skilled,1,none,yes,good
'no checking',9,'existing paid',business,1449,'<100','4<=X<7',3,'female div/dep/mar',none,2,car,27,none,own,2,skilled,1,none,yes,good
'no checking',18,'existing paid',buy_new_car,1820,'<100','1<=X<4',2,'male mar/wid',none,2,'life insurance',30,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'0<=X<200',12,'existing paid',buy_furniture_equipment,983,'>=1000','<1',1,'female div/dep/mar',none,4,'real estate',19,none,rent,1,'unskilled resident',1,none,yes,good
'<0',36,'existing paid',buy_new_car,3249,'<100','4<=X<7',2,'male single',none,4,'no known property',39,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,yes,good
'<0',6,'critical/other existing credit',buy_radio_tv,1957,'<100','4<=X<7',1,'female div/dep/mar',none,4,car,31,none,own,1,skilled,1,none,yes,good
'no checking',9,'critical/other existing credit',buy_furniture_equipment,2406,'<100',unemployed,2,'male single',none,3,car,31,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good
'0<=X<200',39,'delayed previously',education,11760,'100<=X<500','4<=X<7',2,'male single',none,3,'no known property',32,none,rent,1,skilled,1,yes,yes,good
'<0',12,'existing paid',buy_furniture_equipment,2578,'<100',unemployed,3,'female div/dep/mar',none,4,'no known property',55,none,'for free',1,'high qualif/self emp/mgmt',1,none,yes,good
'<0',36,'critical/other existing credit',buy_furniture_equipment,2348,'<100','1<=X<4',3,'male mar/wid',none,2,'life insurance',46,none,own,2,skilled,1,yes,yes,good
'0<=X<200',12,'existing paid',buy_new_car,1223,'<100','>=7',1,'male div/sep',none,1,'real estate',46,none,rent,2,skilled,1,none,yes,bad
'no checking',24,'critical/other existing credit',buy_radio_tv,1516,'>=1000','1<=X<4',4,'female div/dep/mar',none,1,'real estate',43,none,own,2,'unskilled resident',1,none,yes,good
'no checking',18,'existing paid',buy_radio_tv,1473,'<100','<1',3,'male mar/wid',none,4,'real estate',39,none,own,1,skilled,1,yes,yes,good
'0<=X<200',18,'critical/other existing credit',business,1887,'no known savings','1<=X<4',4,'male mar/wid',none,4,'real estate',28,bank,own,2,skilled,1,none,yes,good
'no checking',24,'delayed previously',business,8648,'<100','<1',2,'male single',none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
'no checking',14,'delayed previously',buy_new_car,802,'<100','1<=X<4',4,'male single',none,2,car,27,none,own,2,'unskilled resident',1,none,yes,good
'0<=X<200',18,'delayed previously',buy_new_car,2899,'no known savings','>=7',4,'male single',none,4,car,43,none,own,1,skilled,2,none,yes,good
'0<=X<200',24,'existing paid',buy_radio_tv,2039,'<100','<1',1,'male mar/wid',none,1,'life insurance',22,none,own,1,skilled,1,yes,yes,bad
'no checking',24,'critical/other existing credit',buy_used_car,2197,'no known savings','4<=X<7',4,'male single',none,4,car,43,none,own,2,skilled,2,yes,yes,good
'<0',15,'existing paid',buy_radio_tv,1053,'<100','<1',4,'male mar/wid',none,2,'real estate',27,none,own,1,skilled,1,none,no,good
'no checking',24,'existing paid',buy_radio_tv,3235,'500<=X<1000','>=7',3,'male div/sep',none,2,car,26,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'>=200',12,'critical/other existing credit',buy_new_car,939,'500<=X<1000','4<=X<7',4,'male mar/wid',none,2,'real estate',28,none,own,3,skilled,1,yes,yes,bad
'0<=X<200',24,'existing paid',buy_radio_tv,1967,'<100','>=7',4,'female div/dep/mar',none,4,car,20,none,own,1,skilled,1,yes,yes,good
'no checking',33,'critical/other existing credit',buy_used_car,7253,'<100','4<=X<7',3,'male single',none,2,car,35,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',12,'critical/other existing credit',business,2292,'<100',unemployed,4,'male single',none,2,car,42,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',10,'existing paid',buy_new_car,1597,'500<=X<1000','1<=X<4',3,'male single',none,2,'no known property',40,none,rent,1,'unskilled resident',2,none,no,good
'<0',24,'existing paid',buy_new_car,1381,'no known savings','1<=X<4',4,'female div/dep/mar',none,2,'life insurance',35,none,own,1,skilled,1,none,yes,bad
'no checking',36,'critical/other existing credit',buy_used_car,5842,'<100','>=7',2,'male single',none,2,'life insurance',35,none,own,2,skilled,2,yes,yes,good
'<0',12,'existing paid',buy_new_car,2579,'<100','<1',4,'male single',none,1,'real estate',33,none,own,1,'unskilled resident',2,none,yes,bad
'<0',18,'delayed previously',education,8471,'no known savings','1<=X<4',1,'female div/dep/mar',none,2,car,23,none,rent,2,skilled,1,yes,yes,good
'no checking',21,'existing paid',buy_new_car,2782,'500<=X<1000','4<=X<7',1,'female div/dep/mar',none,2,car,31,bank,own,1,'high qualif/self emp/mgmt',1,none,yes,good
'0<=X<200',18,'existing paid',buy_new_car,1042,'no known savings','1<=X<4',4,'female div/dep/mar',none,2,'life insurance',33,none,own,1,skilled,1,none,yes,bad
'no checking',15,'existing paid',buy_new_car,3186,'>=1000','4<=X<7',2,'female div/dep/mar',none,3,car,20,none,rent,1,skilled,1,none,yes,good
'0<=X<200',12,'existing paid',buy_used_car,2028,'no known savings','1<=X<4',4,'male single',none,2,car,30,none,own,1,skilled,1,none,yes,good
'0<=X<200',12,'critical/other existing credit',buy_new_car,958,'<100','4<=X<7',2,'male single',none,3,'real estate',47,none,own,2,'unskilled resident',2,none,yes,good
'no checking',21,'delayed previously',buy_furniture_equipment,1591,'100<=X<500','4<=X<7',4,'male single',none,3,'real estate',34,none,own,2,'high qualif/self emp/mgmt',1,none,yes,good
'0<=X<200',12,'existing paid',buy_furniture_equipment,2762,'no known savings','>=7',1,'female div/dep/mar',none,2,'life insurance',25,bank,own,1,skilled,1,yes,yes,bad
'0<=X<200',18,'existing paid',buy_used_car,2779,'<100','1<=X<4',1,'male mar/wid',none,3,car,21,none,rent,1,skilled,1,yes,yes,good
'no checking',28,'critical/other existing credit',buy_radio_tv,2743,'<100','>=7',4,'male single',none,2,car,29,none,own,2,skilled,1,none,yes,good
'no checking',18,'critical/other existing credit',buy_radio_tv,1149,'>=1000','1<=X<4',4,'male single',none,3,'real estate',46,none,own,2,skilled,1,none,yes,good
'no checking',9,'existing paid',buy_furniture_equipment,1313,'<100','>=7',1,'male single',none,4,car,20,none,own,1,skilled,1,none,yes,good
'<0',18,'critical/other existing credit',repairs,1190,'<100',unemployed,2,'female div/dep/mar',none,4,'no known property',55,none,'for free',3,'unemp/unskilled non res',2,none,yes,bad
'no checking',5,'existing paid',business,3448,'<100','4<=X<7',1,'male single',none,4,'real estate',74,none,own,1,'unskilled resident',1,none,yes,good
'0<=X<200',24,'existing paid',other,11328,'<100','1<=X<4',2,'male single','co applicant',3,car,29,bank,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad
'<0',6,'critical/other existing credit',buy_furniture_equipment,1872,'<100',unemployed,4,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',24,'critical/other existing credit',repairs,2058,'<100','1<=X<4',4,'male div/sep',none,2,'real estate',33,none,own,2,skilled,1,yes,yes,good
'<0',9,'existing paid',buy_furniture_equipment,2136,'<100','1<=X<4',3,'male single',none,2,'real estate',25,none,own,1,skilled,1,none,yes,good
'0<=X<200',12,'existing paid',buy_radio_tv,1484,'no known savings','1<=X<4',2,'male mar/wid',none,1,'real estate',25,none,own,1,skilled,1,yes,yes,bad
'no checking',6,'existing paid',repairs,660,'500<=X<1000','4<=X<7',2,'male mar/wid',none,4,'real estate',23,none,rent,1,'unskilled resident',1,none,yes,good
'no checking',24,'critical/other existing credit',buy_new_car,1287,'>=1000','>=7',4,'female div/dep/mar',none,4,'real estate',37,none,own,2,skilled,1,yes,yes,good
'<0',42,'critical/other existing credit',repairs,3394,'<100',unemployed,4,'male single','co applicant',4,car,65,none,own,2,'unemp/unskilled non res',1,none,yes,good
'>=200',12,'all paid',business,609,'<100','<1',4,'female div/dep/mar',none,1,'real estate',26,none,own,1,'unemp/unskilled non res',1,none,yes,bad
'no checking',12,'existing paid',buy_new_car,1884,'<100','>=7',4,'male single',none,4,car,39,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'<0',12,'existing paid',buy_furniture_equipment,1620,'<100','1<=X<4',2,'female div/dep/mar','co applicant',3,'life insurance',30,none,own,1,skilled,1,none,yes,good
'0<=X<200',20,'delayed previously',other,2629,'<100','1<=X<4',2,'male single',none,3,car,29,bank,own,2,skilled,1,yes,yes,good
'no checking',12,'existing paid',education,719,'<100','>=7',4,'male single',none,4,car,41,bank,own,1,'unskilled resident',2,none,yes,bad
'0<=X<200',48,'critical/other existing credit',buy_furniture_equipment,5096,'<100','1<=X<4',2,'female div/dep/mar',none,3,car,30,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',9,'critical/other existing credit',education,1244,'no known savings','>=7',4,'female div/dep/mar',none,4,'life insurance',41,none,rent,2,'unskilled resident',1,none,yes,good
'<0',36,'existing paid',buy_new_car,1842,'<100','<1',4,'female div/dep/mar',none,4,car,34,none,own,1,skilled,1,yes,yes,bad
'0<=X<200',7,'existing paid',buy_radio_tv,2576,'<100','1<=X<4',2,'male single',guarantor,2,'real estate',35,none,own,1,skilled,1,none,yes,good
'>=200',12,'existing paid',buy_furniture_equipment,1424,'no known savings','>=7',3,'female div/dep/mar',none,4,'real estate',55,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'0<=X<200',15,'delayed previously',repairs,1512,'>=1000','1<=X<4',3,'male mar/wid',none,3,'life insurance',61,stores,own,2,skilled,1,none,yes,bad
'no checking',36,'critical/other existing credit',buy_used_car,11054,'no known savings','1<=X<4',4,'male single',none,2,car,30,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',6,'existing paid',buy_radio_tv,518,'<100','1<=X<4',3,'female div/dep/mar',none,1,'real estate',29,none,own,1,skilled,1,none,yes,good
'no checking',12,'no credits/all paid',buy_furniture_equipment,2759,'<100','>=7',2,'male single',none,4,'life insurance',34,none,own,2,skilled,1,none,yes,good
'no checking',24,'existing paid',buy_used_car,2670,'<100','>=7',4,'male single',none,4,car,35,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'<0',24,'existing paid',buy_new_car,4817,'<100','4<=X<7',2,'male single','co applicant',3,'life insurance',31,none,own,1,skilled,1,yes,yes,bad
'no checking',24,'existing paid',buy_used_car,2679,'<100','<1',4,'female div/dep/mar',none,1,'no known property',29,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'<0',11,'critical/other existing credit',buy_new_car,3905,'<100','1<=X<4',2,'male single',none,2,'real estate',36,none,rent,2,skilled,2,none,yes,good
'<0',12,'existing paid',buy_used_car,3386,'<100','>=7',3,'male single',none,4,'no known property',35,none,'for free',1,skilled,1,yes,yes,bad
'<0',6,'existing paid',buy_domestic_appliance,343,'<100','<1',4,'female div/dep/mar',none,1,'real estate',27,none,own,1,skilled,1,none,yes,good
'no checking',18,'existing paid',buy_radio_tv,4594,'<100','<1',3,'male single',none,2,car,32,none,own,1,skilled,1,yes,yes,good
'<0',36,'existing paid',buy_furniture_equipment,3620,'<100','1<=X<4',1,'male single',guarantor,2,'life insurance',37,none,own,1,skilled,2,none,yes,good
'<0',15,'existing paid',buy_new_car,1721,'<100','<1',2,'male single',none,3,'real estate',36,none,own,1,skilled,1,none,yes,good
'0<=X<200',12,'existing paid',buy_furniture_equipment,3017,'<100','<1',3,'female div/dep/mar',none,1,'real estate',34,none,rent,1,'high qualif/self emp/mgmt',1,none,yes,good
'0<=X<200',12,'existing paid',retraining,754,'no known savings','>=7',4,'male single',none,4,'life insurance',38,none,own,2,skilled,1,none,yes,good
'no checking',18,'existing paid',business,1950,'<100','4<=X<7',4,'male single',none,1,car,34,stores,own,2,skilled,1,yes,yes,good
'<0',24,'existing paid',buy_used_car,2924,'<100','1<=X<4',3,'male single',guarantor,4,'no known property',63,bank,own,1,skilled,2,yes,yes,good
'<0',24,'delayed previously',buy_radio_tv,1659,'<100','<1',4,'female div/dep/mar',none,2,car,29,none,rent,1,'unskilled resident',1,yes,yes,bad
'no checking',48,'delayed previously',buy_radio_tv,7238,'no known savings','>=7',3,'male single',none,3,car,32,bank,own,2,skilled,2,none,yes,good
'no checking',33,'delayed previously',business,2764,'<100','1<=X<4',2,'female div/dep/mar',none,2,car,26,none,own,2,skilled,1,yes,yes,good
'no checking',24,'delayed previously',buy_used_car,4679,'<100','4<=X<7',3,'male single',none,3,car,35,none,own,2,'unskilled resident',1,yes,yes,good
'0<=X<200',24,'existing paid',buy_radio_tv,3092,'100<=X<500','<1',3,'male mar/wid',none,2,car,22,none,rent,1,skilled,1,yes,yes,bad
'<0',6,'existing paid',education,448,'<100','<1',4,'female div/dep/mar',none,4,'life insurance',23,none,own,1,skilled,1,none,yes,bad
'<0',9,'existing paid',buy_new_car,654,'<100','1<=X<4',4,'male single',none,3,car,28,none,own,1,'unskilled resident',1,none,yes,bad
'no checking',6,'existing paid',retraining,1238,'no known savings',unemployed,4,'male single',none,4,'life insurance',36,none,own,1,'high qualif/self emp/mgmt',2,yes,yes,good
'0<=X<200',18,'critical/other existing credit',buy_radio_tv,1245,'<100','1<=X<4',4,'male mar/wid',none,2,car,33,none,own,1,skilled,1,none,yes,bad
'<0',18,'no credits/all paid',buy_furniture_equipment,3114,'<100','<1',1,'female div/dep/mar',none,4,'life insurance',26,none,rent,1,skilled,1,none,yes,bad
'no checking',39,'existing paid',buy_used_car,2569,'500<=X<1000','1<=X<4',4,'male single',none,4,car,24,none,own,1,skilled,1,none,yes,good
'>=200',24,'existing paid',buy_radio_tv,5152,'<100','4<=X<7',4,'male single',none,2,car,25,bank,own,1,skilled,1,none,yes,good
'0<=X<200',12,'existing paid',business,1037,'100<=X<500','4<=X<7',3,'male single',none,4,'real estate',39,none,own,1,'unskilled resident',1,none,yes,good
'<0',15,'critical/other existing credit',buy_furniture_equipment,1478,'<100','>=7',4,'male single',none,4,car,44,none,own,2,skilled,2,yes,yes,good
'0<=X<200',12,'critical/other existing credit',buy_radio_tv,3573,'<100','1<=X<4',1,'female div/dep/mar',none,1,'real estate',23,none,own,1,'unskilled resident',1,none,yes,good
'0<=X<200',24,'existing paid',buy_new_car,1201,'<100','<1',4,'male single',none,1,'life insurance',26,none,own,1,skilled,1,none,yes,good
'<0',30,'existing paid',buy_furniture_equipment,3622,'>=1000','>=7',4,'female div/dep/mar',none,4,'life insurance',57,none,rent,2,skilled,1,yes,yes,good
'no checking',15,'delayed previously',buy_furniture_equipment,960,'>=1000','4<=X<7',3,'female div/dep/mar',none,2,'life insurance',30,none,own,2,skilled,1,none,yes,good
'no checking',12,'critical/other existing credit',buy_new_car,1163,'500<=X<1000','1<=X<4',4,'male single',none,4,'real estate',44,none,own,1,skilled,1,yes,yes,good
'0<=X<200',6,'delayed previously',buy_new_car,1209,'<100',unemployed,4,'male single',none,4,'life insurance',47,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',12,'existing paid',buy_radio_tv,3077,'<100','1<=X<4',2,'male single',none,4,car,52,none,own,1,skilled,1,yes,yes,good
'no checking',24,'existing paid',buy_new_car,3757,'<100','>=7',4,'female div/dep/mar','co applicant',4,'no known property',62,none,'for free',1,skilled,1,yes,yes,good
'no checking',10,'existing paid',buy_new_car,1418,'100<=X<500','1<=X<4',3,'male single',none,2,'real estate',35,none,rent,1,'unskilled resident',1,none,no,good
'no checking',6,'existing paid',buy_new_car,3518,'<100','1<=X<4',2,'male single',guarantor,3,'life insurance',26,none,rent,1,skilled,1,none,yes,good
'no checking',12,'critical/other existing credit',buy_radio_tv,1934,'<100','>=7',2,'male single',none,2,'no known property',26,none,own,2,skilled,1,none,yes,good
'0<=X<200',27,'no credits/all paid',business,8318,'<100','>=7',2,'female div/dep/mar',none,4,'no known property',42,none,'for free',2,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',6,'critical/other existing credit',buy_radio_tv,1237,'100<=X<500','1<=X<4',1,'female div/dep/mar',none,1,'life insurance',27,none,own,2,skilled,1,none,yes,good
'0<=X<200',6,'existing paid',buy_radio_tv,368,'no known savings','>=7',4,'male single',none,4,'life insurance',38,none,own,1,skilled,1,none,yes,good
'<0',12,'critical/other existing credit',buy_new_car,2122,'<100','1<=X<4',3,'male single',none,2,'real estate',39,none,rent,2,'unskilled resident',2,none,no,good
'<0',24,'existing paid',buy_furniture_equipment,2996,'no known savings','1<=X<4',2,'male mar/wid',none,4,car,20,none,own,1,skilled,1,none,yes,bad
'0<=X<200',36,'existing paid',buy_furniture_equipment,9034,'100<=X<500','<1',4,'male single','co applicant',1,'no known property',29,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',24,'critical/other existing credit',buy_furniture_equipment,1585,'<100','4<=X<7',4,'male single',none,3,'life insurance',40,none,own,2,skilled,1,none,yes,good
'0<=X<200',18,'existing paid',buy_radio_tv,1301,'<100','>=7',4,'male mar/wid',guarantor,2,'real estate',32,none,own,1,'unskilled resident',1,none,yes,good
'>=200',6,'critical/other existing credit',buy_new_car,1323,'100<=X<500','>=7',2,'male div/sep',none,4,car,28,none,own,2,skilled,2,yes,yes,good
'<0',24,'existing paid',buy_new_car,3123,'<100','<1',4,'female div/dep/mar',none,1,'life insurance',27,none,own,1,skilled,1,none,yes,bad
'<0',36,'existing paid',buy_used_car,5493,'<100','>=7',2,'male single',none,4,'no known property',42,none,'for free',1,skilled,2,none,yes,good
'>=200',9,'existing paid',buy_radio_tv,1126,'100<=X<500','>=7',2,'male div/sep',none,4,'real estate',49,none,own,1,skilled,1,none,yes,good
'0<=X<200',24,'critical/other existing credit',buy_radio_tv,1216,'100<=X<500','<1',4,'male single',none,4,'no known property',38,bank,own,2,skilled,2,none,yes,bad
'<0',24,'existing paid',buy_new_car,1207,'<100','<1',4,'female div/dep/mar',none,4,'life insurance',24,none,rent,1,skilled,1,none,yes,bad
'no checking',10,'existing paid',buy_new_car,1309,'no known savings','1<=X<4',4,'male single',guarantor,4,'life insurance',27,none,own,1,'unskilled resident',1,none,yes,bad
'>=200',15,'critical/other existing credit',buy_used_car,2360,'500<=X<1000','1<=X<4',2,'male single',none,2,car,36,none,own,1,skilled,1,yes,yes,good
'0<=X<200',15,'all paid',buy_new_car,6850,'100<=X<500',unemployed,1,'male single',none,2,'life insurance',34,none,own,1,'high qualif/self emp/mgmt',2,yes,yes,bad
'no checking',24,'existing paid',buy_radio_tv,1413,'<100','1<=X<4',4,'male mar/wid',none,2,'life insurance',28,none,own,1,skilled,1,none,yes,good
'no checking',39,'existing paid',buy_used_car,8588,'100<=X<500','>=7',4,'male single',none,2,car,45,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'<0',12,'existing paid',buy_new_car,759,'<100','4<=X<7',4,'male single',none,2,'real estate',26,none,own,1,skilled,1,none,yes,bad
'no checking',36,'existing paid',buy_used_car,4686,'<100','1<=X<4',2,'male single',none,2,'no known property',32,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'>=200',15,'existing paid',business,2687,'<100','4<=X<7',2,'male single',none,4,'life insurance',26,none,rent,1,skilled,1,yes,yes,good
'0<=X<200',12,'delayed previously',buy_radio_tv,585,'<100','1<=X<4',4,'male mar/wid','co applicant',4,'real estate',20,none,rent,2,skilled,1,none,yes,good
'no checking',24,'existing paid',buy_new_car,2255,'no known savings','<1',4,'male single',none,1,'life insurance',54,none,own,1,skilled,1,none,yes,good
'<0',6,'critical/other existing credit',buy_new_car,609,'<100','4<=X<7',4,'female div/dep/mar',none,3,'life insurance',37,none,own,2,skilled,1,none,no,good
'<0',6,'critical/other existing credit',buy_new_car,1361,'<100','<1',2,'male single',none,4,'real estate',40,none,own,1,'unskilled resident',2,none,no,good
'no checking',36,'critical/other existing credit',buy_furniture_equipment,7127,'<100','<1',2,'female div/dep/mar',none,4,'life insurance',23,none,rent,2,skilled,1,yes,yes,bad
'<0',6,'existing paid',buy_new_car,1203,'100<=X<500','>=7',3,'male single',none,2,'life insurance',43,none,own,1,skilled,1,yes,yes,good
'no checking',6,'critical/other existing credit',buy_radio_tv,700,'no known savings','>=7',4,'male single',none,4,'no known property',36,none,'for free',2,skilled,1,none,yes,good
'no checking',24,'critical/other existing credit',repairs,5507,'<100','>=7',3,'male single',none,4,'no known property',44,none,'for free',2,skilled,1,none,yes,good
'<0',18,'existing paid',buy_radio_tv,3190,'<100','1<=X<4',2,'female div/dep/mar',none,2,'real estate',24,none,own,1,skilled,1,none,yes,bad
'<0',48,'no credits/all paid',buy_furniture_equipment,7119,'<100','1<=X<4',3,'male single',none,4,'no known property',53,none,'for free',2,skilled,2,none,yes,bad
'no checking',24,'existing paid',buy_used_car,3488,'100<=X<500','4<=X<7',3,'female div/dep/mar',none,4,car,23,none,own,1,skilled,1,none,yes,good
'0<=X<200',18,'existing paid',buy_radio_tv,1113,'<100','1<=X<4',4,'female div/dep/mar',guarantor,4,'real estate',26,none,own,1,'unskilled resident',2,none,yes,good
'0<=X<200',26,'existing paid',buy_used_car,7966,'<100','<1',2,'male single',none,3,car,30,none,own,2,skilled,1,none,yes,good
'no checking',15,'critical/other existing credit',education,1532,'100<=X<500','1<=X<4',4,'female div/dep/mar',none,3,car,31,none,own,1,skilled,1,none,yes,good
'no checking',4,'critical/other existing credit',buy_radio_tv,1503,'<100','4<=X<7',2,'male single',none,1,'real estate',42,none,own,2,'unskilled resident',2,none,yes,good
'<0',36,'existing paid',buy_radio_tv,2302,'<100','1<=X<4',4,'male div/sep',none,4,car,31,none,rent,1,skilled,1,none,yes,bad
'<0',6,'existing paid',buy_new_car,662,'<100','<1',3,'male single',none,4,'real estate',41,none,own,1,'unskilled resident',2,yes,yes,good
'0<=X<200',36,'existing paid',education,2273,'<100','4<=X<7',3,'male single',none,1,car,32,none,own,2,skilled,2,none,yes,good
'0<=X<200',15,'existing paid',buy_new_car,2631,'100<=X<500','1<=X<4',2,'female div/dep/mar',none,4,car,28,none,rent,2,skilled,1,yes,yes,bad
'no checking',12,'delayed previously',buy_used_car,1503,'<100','1<=X<4',4,'male mar/wid',none,4,'real estate',41,none,rent,1,skilled,1,none,yes,good
'no checking',24,'existing paid',buy_radio_tv,1311,'100<=X<500','4<=X<7',4,'male mar/wid',none,3,'life insurance',26,none,own,1,skilled,1,yes,yes,good
